Date,Open,High,Low,Close,Volume,Adj Close
2/10/2006,10883.50977,10944.99023,10820.2002,10919.04981,303570000,10919.04981
2/9/2006,10859.41992,10952.26953,10855.74023,10883.34961,314190000,10883.34961
2/8/2006,10742.16016,10865.41992,10740.62988,10858.62012,330080000,10858.62012
2/7/2006,10796.41992,10822.75977,10737.66992,10749.75977,351880000,10749.75977
2/6/2006,10793.29981,10814.50977,10770.96973,10798.26953,263190000,10798.26953
2/3/2006,10849.57031,10863.58008,10779.05957,10793.62012,346600000,10793.62012
2/2/2006,10950.11035,10950.11035,10827.16016,10851.98047,314190000,10851.98047
2/1/2006,10862.13965,10967.57031,10852.82031,10953.9502,333580000,10953.9502
1/31/2006,10900.40039,10923.4502,10862.13965,10864.86035,369370000,10864.86035
1/30/2006,10908.49023,10930.5,10887.44043,10899.91992,323690000,10899.91992
1/27/2006,10815.32031,10932.33984,10804.75,10907.20996,398810000,10907.20996
1/26/2006,10711.01953,10827.95996,10710.94043,10809.46973,400550000,10809.46973
1/25/2006,10713.25977,10760.57031,10672.59961,10709.74023,412460000,10709.74023
1/24/2006,10690.20996,10750.30957,10686.04004,10712.21973,375980000,10712.21973
1/23/2006,10668.75,10737.04004,10666.34961,10688.76953,366090000,10688.76953
1/20/2006,10880.70996,10880.70996,10661.15039,10667.38965,519090000,10667.38965
1/19/2006,10855.17969,10915.9502,10852.12988,10880.70996,370960000,10880.70996
1/18/2006,10890.08008,10890.08008,10817.32031,10854.86035,361540000,10854.86035
1/17/2006,10957.87012,10957.87012,10875.59961,10896.32031,251470000,10896.32031
1/13/2006,10961.48047,10992.69043,10921.53027,10959.87012,209940000,10959.87012
1/12/2006,11043.44043,11045.83984,10951.23047,10962.36035,296400000,10962.36035
1/11/2006,11011.66016,11047.75977,10991.96973,11043.44043,266260000,11043.44043
1/10/2006,11010.45996,11013.98047,10949.87012,11011.58008,264270000,11011.58008
1/9/2006,10959.46973,11020.15039,10944.42969,11011.90039,248240000,11011.90039
1/6/2006,10875.4502,10968.83984,10875.4502,10959.30957,291740000,10959.30957
1/5/2006,10880.38965,10908.25,10843.65039,10882.15039,250910000,10882.15039
1/4/2006,10843.96973,10892.63965,10833.90039,10880.15039,271490000,10880.15039
1/3/2006,10718.29981,10862.78027,10684.4502,10847.41016,302950000,10847.41016
12/30/2005,10783.86035,10783.86035,10709.41992,10717.5,191020000,10717.5
12/29/2005,10795.7002,10825.24023,10779.21973,10784.82031,160010000,10784.82031
12/28/2005,10778.25,10825.16016,10778.25,10796.25977,153230000,10796.25977
12/27/2005,10883.75,10932.82031,10776.49023,10777.76953,174190000,10777.76953
12/23/2005,10883.26953,10904.79981,10869.83008,10883.26953,126720000,10883.26953
12/22/2005,10831.55957,10891.04004,10829.16016,10889.44043,229500000,10889.44043
12/21/2005,10805.62988,10900.88965,10805.62988,10833.73047,257850000,10833.73047
12/20/2005,10836.92969,10860.13965,10789.62012,10805.54981,254440000,10805.54981
12/19/2005,10875.50977,10922.41016,10825.63965,10836.53027,331170000,10836.53027
12/16/2005,10881.66992,10940.33984,10869.26953,10875.58984,419040000,10875.58984
12/15/2005,10883.42969,10938.74023,10865.41992,10881.66992,297560000,10881.66992
12/14/2005,10821.32031,10919.76953,10820.32031,10883.50977,336440000,10883.50977
12/13/2005,10765.69043,10871.50977,10751.36035,10823.71973,329050000,10823.71973
12/12/2005,10778.66016,10811.70996,10735.11035,10767.76953,254130000,10767.76953
12/9/2005,10751.75977,10805.9502,10729.91016,10778.58008,238930000,10778.58008
12/8/2005,10808.42969,10847.25,10729.66992,10755.12012,253290000,10755.12012
12/7/2005,10856.86035,10868.05957,10764.00977,10810.91016,243490000,10810.91016
12/6/2005,10835.41016,10936.2002,10835.41016,10856.86035,264630000,10856.86035
12/5/2005,10876.9502,10876.9502,10810.66992,10835.00977,237340000,10835.00977
12/2/2005,10912.00977,10921.37012,10861.66016,10877.50977,214900000,10877.50977
12/1/2005,10806.03027,10934.90039,10806.03027,10912.57031,256980000,10912.57031
11/30/2005,10883.91016,10924.82031,10803.87012,10805.87012,257650000,10805.87012
11/29/2005,10888.48047,10959.79004,10888.07031,10888.16016,255250000,10888.16016
11/28/2005,10932.74023,10951.92969,10881.62988,10890.71973,259360000,10890.71973
11/25/2005,10916.08984,10955.48047,10914.49023,10931.62012,122460000,10931.62012
11/23/2005,10871.42969,10950.75,10855.33984,10916.08984,236740000,10916.08984
11/22/2005,10815.95996,10877.42969,10787.21973,10871.42969,311190000,10871.42969
11/21/2005,10766.33008,10835.33008,10761.04981,10820.28027,250280000,10820.28027
11/18/2005,10719.33984,10796.25977,10697.25,10766.33008,351030000,10766.33008
11/17/2005,10677,10727.66992,10665.54981,10720.21973,274320000,10720.21973
11/16/2005,10683.03027,10712.21973,10652.26953,10674.75977,286000000,10674.75977
11/15/2005,10697.16992,10741.99023,10664.26953,10686.44043,267560000,10686.44043
11/14/2005,10686.59961,10710.05957,10674.28027,10697.16992,211290000,10697.16992
11/11/2005,10640.09961,10696.4502,10637.42969,10686.04004,195880000,10686.04004
11/10/2005,10541.16016,10655.53027,10519.38965,10640.09961,293350000,10640.09961
11/9/2005,10539.24023,10601.91992,10519.54981,10546.20996,244430000,10546.20996
11/8/2005,10574.17969,10574.21973,10524.28027,10539.71973,201770000,10539.71973
11/7/2005,10531.24023,10593.34961,10520.42969,10586.23047,241260000,10586.23047
11/4/2005,10523.23047,10552.37988,10479.38965,10530.75977,230870000,10530.75977
11/3/2005,10470.49023,10561.16016,10470.49023,10522.58984,320900000,10522.58984
11/2/2005,10406.29004,10493.54004,10388.75977,10472.73047,279710000,10472.73047
11/1/2005,10440.07031,10455.28027,10406.04004,10406.76953,294480000,10406.76953
10/31/2005,10403.16992,10486.65039,10403.16992,10440.07031,320080000,10440.07031
10/28/2005,10231.15039,10404.7002,10231.15039,10402.76953,283060000,10402.76953
10/27/2005,10344.74023,10349.21973,10229.9502,10229.9502,236490000,10229.9502
10/26/2005,10377.38965,10434.46973,10336.82031,10344.98047,266810000,10344.98047
10/25/2005,10383.87988,10411.65039,10316.87988,10377.87012,246960000,10377.87012
10/24/2005,10216.11035,10387,10216.11035,10385,263690000,10385
10/21/2005,10282.21973,10350.98047,10193.4502,10215.21973,357930000,10215.21973
10/20/2005,10411.73047,10432.78027,10252.12988,10281.09961,334850000,10281.09961
10/19/2005,10277.17969,10414.12988,10232.98047,10414.12988,316880000,10414.12988
10/18/2005,10349.13965,10361.46973,10285.25977,10285.25977,297590000,10285.25977
10/17/2005,10287.41992,10350.99023,10269.80957,10348.09961,242880000,10348.09961
10/14/2005,10216.58984,10291.91016,10200.09961,10287.33984,238950000,10287.33984
10/13/2005,10216.91016,10241.32031,10156.45996,10216.58984,270400000,10216.58984
10/12/2005,10253.80957,10308.87988,10186.08984,10216.91016,293420000,10216.91016
10/11/2005,10239.16016,10312.87988,10234.2002,10253.16992,261000000,10253.16992
10/10/2005,10292.9502,10323.12012,10237.79981,10238.75977,236540000,10238.75977
10/7/2005,10287.41992,10347.29981,10280.62012,10292.30957,237340000,10292.30957
10/6/2005,10317.36035,10369.54981,10218.08984,10287.09961,316440000,10287.09961
10/5/2005,10434.80957,10438.46973,10316.16016,10317.36035,266720000,10317.36035
10/4/2005,10534.36035,10567.82031,10434.79004,10441.11035,301840000,10441.11035
10/3/2005,10569.5,10608.55957,10523.62988,10535.48047,239190000,10535.48047
9/30/2005,10552.7002,10569.80957,10526.12012,10568.7002,222160000,10568.7002
9/29/2005,10472.61035,10563.37012,10418.00977,10552.78027,236020000,10552.78027
9/28/2005,10456.61035,10512.09961,10423.98047,10473.08984,238740000,10473.08984
9/27/2005,10444.58008,10496.25,10415.62012,10456.20996,224960000,10456.20996
9/26/2005,10420.21973,10509.23047,10410.11035,10443.62988,234320000,10443.62988
9/23/2005,10422.04981,10455.80957,10372.05957,10419.58984,238590000,10419.58984
9/22/2005,10376.2002,10444.50977,10350.95996,10422.04981,254260000,10422.04981
9/21/2005,10484.23047,10484.54981,10375.24023,10378.03027,266650000,10378.03027
9/20/2005,10558.19043,10604.75977,10467.11035,10481.51953,244560000,10481.51953
9/19/2005,10641.87012,10644.57031,10521.17969,10557.62988,233530000,10557.62988
9/16/2005,10560.5,10647.36035,10560.41992,10641.94043,546940000,10641.94043
9/15/2005,10545.84961,10582.07031,10520.92969,10558.75,225350000,10558.75
9/14/2005,10597.51953,10633.19043,10536.62012,10544.90039,225350000,10544.90039
9/13/2005,10673.70996,10674.03027,10595.29004,10597.44043,222620000,10597.44043
9/12/2005,10678.41016,10701.80957,10664.08984,10682.94043,201190000,10682.94043
9/9/2005,10594.09961,10695.91992,10593.94043,10678.55957,247140000,10678.55957
9/8/2005,10633.11035,10636.49023,10569.33984,10595.92969,222990000,10595.92969
9/7/2005,10588.67969,10640.42969,10573.9502,10633.5,226790000,10633.5
9/6/2005,10447.69043,10593.05957,10447.69043,10589.24023,233670000,10589.24023
9/2/2005,10460.66992,10497.4502,10434.70996,10447.37012,204490000,10447.37012
9/1/2005,10481.44043,10513.75977,10425.79981,10459.62988,278990000,10459.62988
8/31/2005,10409.08008,10484.79004,10356.87012,10481.59961,281200000,10481.59961
8/30/2005,10461.54004,10461.54004,10350,10412.82031,234650000,10412.82031
8/29/2005,10396.90039,10487.5,10349.37012,10463.04981,202970000,10463.04981
8/26/2005,10450.9502,10450.9502,10383.98047,10397.29004,192100000,10397.29004
8/25/2005,10434.38965,10465.36035,10428.33984,10450.62988,188100000,10450.62988
8/24/2005,10519.33984,10559,10432.08008,10434.87012,256640000,10434.87012
8/23/2005,10571.00977,10577.45996,10496.73047,10519.58008,210670000,10519.58008
8/22/2005,10559.23047,10641.15039,10523.95996,10569.88965,215570000,10569.88965
8/19/2005,10552.7002,10626.25977,10552.7002,10559.23047,219830000,10559.23047
8/18/2005,10549.75,10592.90039,10517.42969,10554.92969,213900000,10554.92969
8/17/2005,10505.59961,10588.92969,10503.37012,10550.70996,235040000,10550.70996
8/16/2005,10631.58984,10640.26953,10510.33984,10513.4502,232520000,10513.4502
8/15/2005,10599.19043,10655.08008,10557.87012,10634.37988,173340000,10634.37988
8/12/2005,10682.7002,10682.78027,10568.29981,10600.30957,218890000,10600.30957
8/11/2005,10591.83008,10685.88965,10588.51953,10685.88965,234250000,10685.88965
8/10/2005,10606.51953,10719.41016,10570.04981,10594.41016,258420000,10594.41016
8/9/2005,10537.65039,10639.08008,10537.65039,10615.66992,207460000,10615.66992
8/8/2005,10557.24023,10606.04004,10524.91016,10536.92969,185880000,10536.92969
